iter	Passed	Remaining
0	2	224
1	3	184
2	5	166
3	6	150
4	7	148
5	9	149
6	11	147
7	12	145
8	14	142
9	15	140
10	17	139
11	18	138
12	20	136
13	22	135
14	23	133
15	25	136
16	28	138
17	30	139
18	32	138
19	34	138
20	36	137
21	38	138
22	42	141
23	44	140
24	46	140
25	48	138
26	50	137
27	52	135
28	54	133
29	56	131
30	57	128
31	59	125
32	60	123
33	62	120
34	63	118
35	65	116
36	67	114
37	68	112
38	70	110
39	72	108
40	73	106
41	74	102
42	76	100
43	77	98
44	79	96
45	80	94
46	82	92
47	83	90
48	85	88
49	87	87
50	88	85
51	90	83
52	92	81
53	94	80
54	95	78
55	97	76
56	99	74
57	100	72
58	102	70
59	103	69
60	105	67
61	106	65
62	108	63
63	110	62
64	112	60
65	114	59
66	116	57
67	119	56
68	121	54
69	122	52
70	124	50
71	125	48
72	127	47
73	128	45
74	130	43
75	131	41
76	133	39
77	134	38
78	136	36
79	138	34
80	139	32
81	140	30
82	142	29
83	143	27
84	145	25
85	147	23
86	149	22
87	150	20
88	152	18
89	153	17
90	155	15
91	157	13
92	158	11
93	160	10
94	161	8
95	163	6
96	164	5
97	166	3
98	167	1
99	168	0
