iter	Passed	Remaining
0	177	177433
1	181	90378
2	185	61561
3	187	46638
4	189	37683
5	191	31718
6	193	27416
7	195	24205
8	197	21722
9	200	19850
10	202	18213
11	204	16845
12	206	15674
13	208	14690
14	210	13829
15	211	13035
16	213	12351
17	215	11737
18	216	11177
19	217	10680
20	219	10220
21	220	9800
22	221	9419
23	223	9076
24	224	8758
25	226	8468
26	227	8190
27	229	7956
28	230	7721
29	231	7500
30	233	7288
31	234	7096
32	235	6911
33	237	6740
34	238	6584
35	240	6428
36	241	6280
37	243	6162
38	245	6038
39	246	5916
40	247	5800
41	249	5698
42	251	5598
43	252	5495
44	254	5396
45	255	5300
46	257	5215
47	258	5134
48	260	5053
49	261	4970
50	262	4893
51	264	4816
52	265	4746
53	266	4674
54	268	4607
55	269	4542
56	270	4483
57	273	4434
58	274	4378
59	275	4323
60	277	4266
61	278	4215
62	280	4165
63	281	4113
64	282	4066
65	283	4017
66	285	3969
67	286	3932
68	288	3892
69	289	3850
70	291	3807
71	292	3765
72	293	3730
73	295	3694
74	296	3658
75	297	3621
76	299	3584
77	300	3549
78	302	3530
79	304	3498
80	305	3465
81	306	3434
82	307	3397
83	308	3368
84	310	3339
85	311	3309
86	312	3282
87	314	3254
88	315	3233
89	317	3210
90	318	3184
91	320	3159
92	321	3136
93	323	3113
94	324	3088
95	325	3064
96	326	3041
97	328	3019
98	329	2996
99	331	2987
100	333	2967
101	334	2947
102	336	2926
103	337	2906
104	338	2886
105	340	2867
106	341	2849
107	342	2830
108	343	2811
109	346	2799
110	347	2784
111	349	2770
112	351	2756
113	355	2761
114	358	2760
115	363	2773
116	365	2759
117	368	2757
118	370	2741
119	371	2726
120	373	2712
121	374	2695
122	376	2683
123	377	2669
124	379	2658
125	381	2644
126	382	2628
127	383	2615
128	386	2607
129	387	2596
130	389	2585
131	391	2574
132	393	2563
133	394	2551
134	395	2537
135	397	2523
136	398	2509
137	399	2497
138	401	2484
139	402	2472
140	403	2459
141	404	2445
142	407	2440
143	408	2428
144	409	2416
145	410	2403
146	412	2392
147	413	2380
148	414	2369
149	416	2357
150	417	2346
151	418	2335
152	421	2332
153	422	2321
154	423	2310
155	425	2299
156	426	2289
157	427	2279
158	429	2269
159	430	2260
160	431	2247
161	432	2237
162	434	2230
163	436	2222
164	437	2213
165	438	2205
166	440	2197
167	442	2189
168	443	2180
169	444	2171
170	446	2162
171	447	2155
172	449	2150
173	451	2143
174	452	2134
175	454	2125
176	455	2117
177	456	2109
178	457	2100
179	459	2092
180	460	2084
181	462	2076
182	463	2068
183	465	2063
184	466	2055
185	467	2047
186	469	2039
187	470	2031
188	471	2023
189	473	2016
190	474	2009
191	475	2002
192	476	1994
193	478	1989
194	480	1983
195	481	1976
196	483	1968
197	484	1961
198	485	1954
199	486	1947
200	488	1941
201	489	1935
202	491	1929
203	493	1925
204	495	1920
205	496	1913
206	497	1906
207	499	1900
208	500	1893
209	501	1887
210	503	1881
211	504	1875
212	505	1869
213	507	1863
214	509	1860
215	510	1853
216	512	1847
217	513	1840
218	514	1834
219	515	1828
220	517	1824
221	518	1818
222	520	1812
223	521	1806
224	523	1803
225	524	1797
226	526	1792
227	527	1786
228	528	1780
229	530	1775
230	531	1769
231	532	1763
232	534	1758
233	535	1752
234	537	1748
235	538	1744
236	540	1739
237	541	1733
238	542	1728
239	545	1725
240	546	1720
241	547	1715
242	548	1709
243	550	1704
244	551	1700
245	553	1696
246	554	1691
247	556	1686
248	557	1680
249	558	1676
250	560	1671
251	561	1666
252	562	1661
253	564	1656
254	565	1651
255	567	1648
256	568	1644
257	570	1639
258	571	1635
259	572	1630
260	574	1625
261	575	1620
262	576	1615
263	577	1610
264	578	1605
265	580	1601
266	582	1598
267	583	1593
268	585	1589
269	586	1585
270	587	1580
271	588	1575
272	590	1571
273	591	1567
274	592	1562
275	593	1557
276	595	1553
277	597	1551
278	598	1547
279	600	1543
280	601	1538
